year,section,characteristic,income_group,estimate_raw,estimate,flag,estimate_log
2011,Electric Fuses and Circuit Breakers,1 time,"$10,000 to $19,999",545,545.0,ok,6.302618975744905
2011,Electric Fuses and Circuit Breakers,1 time,"$100,000 to $119,999",366,366.0,ok,5.905361848054571
2011,Electric Fuses and Circuit Breakers,1 time,"$120,000 or more",931,931.0,ok,6.837332814685591
2011,Electric Fuses and Circuit Breakers,1 time,"$20,000 to $29,999",628,628.0,ok,6.444131256700441
2011,Electric Fuses and Circuit Breakers,1 time,"$30,000 to $39,999",524,524.0,ok,6.263398262591624
2011,Electric Fuses and Circuit Breakers,1 time,"$40,000 to $49,999",473,473.0,ok,6.161207321695077
2011,Electric Fuses and Circuit Breakers,1 time,"$50,000 to $59,999",441,441.0,ok,6.091309882077698
2011,Electric Fuses and Circuit Breakers,1 time,"$60,000 to $79,999",707,707.0,ok,6.56244409369372
2011,Electric Fuses and Circuit Breakers,1 time,"$80,000 to $99,999",599,599.0,ok,6.396929655216146
2011,Electric Fuses and Circuit Breakers,1 time,"Less than $10,000",445,445.0,ok,6.100318952020064
2011,Electric Fuses and Circuit Breakers,2 times,"$10,000 to $19,999",215,215.0,ok,5.375278407684165
2011,Electric Fuses and Circuit Breakers,2 times,"$100,000 to $119,999",167,167.0,ok,5.123963979403259
2011,Electric Fuses and Circuit Breakers,2 times,"$120,000 or more",385,385.0,ok,5.955837369464831
2011,Electric Fuses and Circuit Breakers,2 times,"$20,000 to $29,999",230,230.0,ok,5.442417710521793
2011,Electric Fuses and Circuit Breakers,2 times,"$30,000 to $39,999",229,229.0,ok,5.438079308923196
2011,Electric Fuses and Circuit Breakers,2 times,"$40,000 to $49,999",208,208.0,ok,5.342334251964811
2011,Electric Fuses and Circuit Breakers,2 times,"$50,000 to $59,999",174,174.0,ok,5.1647859739235145
2011,Electric Fuses and Circuit Breakers,2 times,"$60,000 to $79,999",348,348.0,ok,5.855071922202427
2011,Electric Fuses and Circuit Breakers,2 times,"$80,000 to $99,999",226,226.0,ok,5.424950017481403
2011,Electric Fuses and Circuit Breakers,2 times,"Less than $10,000",199,199.0,ok,5.298317366548036
2011,Electric Fuses and Circuit Breakers,3 times,"$10,000 to $19,999",100,100.0,ok,4.61512051684126
2011,Electric Fuses and Circuit Breakers,3 times,"$100,000 to $119,999",64,64.0,ok,4.174387269895637
2011,Electric Fuses and Circuit Breakers,3 times,"$120,000 or more",165,165.0,ok,5.111987788356544
2011,Electric Fuses and Circuit Breakers,3 times,"$20,000 to $29,999",124,124.0,ok,4.8283137373023015
2011,Electric Fuses and Circuit Breakers,3 times,"$30,000 to $39,999",91,91.0,ok,4.5217885770490405
2011,Electric Fuses and Circuit Breakers,3 times,"$40,000 to $49,999",73,73.0,ok,4.304065093204169
2011,Electric Fuses and Circuit Breakers,3 times,"$50,000 to $59,999",83,83.0,ok,4.430816798843313
2011,Electric Fuses and Circuit Breakers,3 times,"$60,000 to $79,999",116,116.0,ok,4.762173934797756
2011,Electric Fuses and Circuit Breakers,3 times,"$80,000 to $99,999",87,87.0,ok,4.477336814478207
2011,Electric Fuses and Circuit Breakers,3 times,"Less than $10,000",98,98.0,ok,4.59511985013459
2011,Electric Fuses and Circuit Breakers,4 times or more,"$10,000 to $19,999",171,171.0,ok,5.147494476813453
2011,Electric Fuses and Circuit Breakers,4 times or more,"$100,000 to $119,999",94,94.0,ok,4.553876891600541
2011,Electric Fuses and Circuit Breakers,4 times or more,"$120,000 or more",196,196.0,ok,5.2832037287379885
2011,Electric Fuses and Circuit Breakers,4 times or more,"$20,000 to $29,999",203,203.0,ok,5.318119993844216
2011,Electric Fuses and Circuit Breakers,4 times or more,"$30,000 to $39,999",164,164.0,ok,5.10594547390058
2011,Electric Fuses and Circuit Breakers,4 times or more,"$40,000 to $49,999",125,125.0,ok,4.836281906951478
2011,Electric Fuses and Circuit Breakers,4 times or more,"$50,000 to $59,999",72,72.0,ok,4.290459441148391
2011,Electric Fuses and Circuit Breakers,4 times or more,"$60,000 to $79,999",163,163.0,ok,5.099866427824199
2011,Electric Fuses and Circuit Breakers,4 times or more,"$80,000 to $99,999",108,108.0,ok,4.6913478822291435
2011,Electric Fuses and Circuit Breakers,4 times or more,"Less than $10,000",135,135.0,ok,4.912654885736052
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$10,000 to $19,999","11,512",11512.0,ok,9.351232110673664
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$100,000 to $119,999","6,080",6080.0,ok,8.71292443512011
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$120,000 or more","13,030",13030.0,ok,9.475086413144906
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$20,000 to $29,999","12,847",12847.0,ok,9.460943436186543
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$30,000 to $39,999","10,634",10634.0,ok,9.271905727634337
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$40,000 to $49,999","9,123",9123.0,ok,9.11866358340428
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$50,000 to $59,999","7,767",7767.0,ok,8.957768009971161
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$60,000 to $79,999","12,577",12577.0,ok,9.439704535103449
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$80,000 to $99,999","8,685",8685.0,ok,9.069467813094768
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"Less than $10,000","10,415",10415.0,ok,9.251098364448351
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$10,000 to $19,999",11,11.0,ok,2.4849066497880004
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$100,000 to $119,999",10,10.0,ok,2.3978952727983707
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$120,000 or more",4,4.0,ok,1.6094379124341003
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$20,000 to $29,999",14,14.0,ok,2.70805020110221
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$30,000 to $39,999",12,12.0,ok,2.5649493574615367
