year,section,characteristic,income_group,estimate_raw,estimate,flag
2011,Electric Fuses and Circuit Breakers,1 time,"$10,000 to $19,999",545,545.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$100,000 to $119,999",366,366.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$120,000 or more",931,931.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$20,000 to $29,999",628,628.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$30,000 to $39,999",524,524.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$40,000 to $49,999",473,473.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$50,000 to $59,999",441,441.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$60,000 to $79,999",707,707.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"$80,000 to $99,999",599,599.0,ok
2011,Electric Fuses and Circuit Breakers,1 time,"Less than $10,000",445,445.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$10,000 to $19,999",215,215.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$100,000 to $119,999",167,167.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$120,000 or more",385,385.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$20,000 to $29,999",230,230.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$30,000 to $39,999",229,229.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$40,000 to $49,999",208,208.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$50,000 to $59,999",174,174.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$60,000 to $79,999",348,348.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"$80,000 to $99,999",226,226.0,ok
2011,Electric Fuses and Circuit Breakers,2 times,"Less than $10,000",199,199.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$10,000 to $19,999",100,100.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$100,000 to $119,999",64,64.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$120,000 or more",165,165.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$20,000 to $29,999",124,124.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$30,000 to $39,999",91,91.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$40,000 to $49,999",73,73.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$50,000 to $59,999",83,83.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$60,000 to $79,999",116,116.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"$80,000 to $99,999",87,87.0,ok
2011,Electric Fuses and Circuit Breakers,3 times,"Less than $10,000",98,98.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$10,000 to $19,999",171,171.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$100,000 to $119,999",94,94.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$120,000 or more",196,196.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$20,000 to $29,999",203,203.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$30,000 to $39,999",164,164.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$40,000 to $49,999",125,125.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$50,000 to $59,999",72,72.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$60,000 to $79,999",163,163.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"$80,000 to $99,999",108,108.0,ok
2011,Electric Fuses and Circuit Breakers,4 times or more,"Less than $10,000",135,135.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$10,000 to $19,999","11,512",11512.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$100,000 to $119,999","6,080",6080.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$120,000 or more","13,030",13030.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$20,000 to $29,999","12,847",12847.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$30,000 to $39,999","10,634",10634.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$40,000 to $49,999","9,123",9123.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$50,000 to $59,999","7,767",7767.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$60,000 to $79,999","12,577",12577.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"$80,000 to $99,999","8,685",8685.0,ok
2011,Electric Fuses and Circuit Breakers,No fuses or breakers blown in last 3 months,"Less than $10,000","10,415",10415.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$10,000 to $19,999",11,11.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$100,000 to $119,999",10,10.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$120,000 or more",4,4.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$20,000 to $29,999",14,14.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$30,000 to $39,999",12,12.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$40,000 to $49,999",.,,blank_or_na
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$50,000 to $59,999",7,7.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$60,000 to $79,999",9,9.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"$80,000 to $99,999",10,10.0,ok
2011,Electric Fuses and Circuit Breakers,Number of times not reported,"Less than $10,000",14,14.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$10,000 to $19,999",157,157.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$100,000 to $119,999",66,66.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$120,000 or more",148,148.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$20,000 to $29,999",172,172.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$30,000 to $39,999",174,174.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$40,000 to $49,999",112,112.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$50,000 to $59,999",91,91.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$60,000 to $79,999",187,187.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"$80,000 to $99,999",116,116.0,ok
2011,Electric Fuses and Circuit Breakers,Problem not reported or don’t know,"Less than $10,000",209,209.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$10,000 to $19,999","12,710",12710.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$100,000 to $119,999","6,845",6845.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$120,000 or more","14,860",14860.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$20,000 to $29,999","14,218",14218.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$30,000 to $39,999","11,828",11828.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$40,000 to $49,999","10,113",10113.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$50,000 to $59,999","8,635",8635.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$60,000 to $79,999","14,108",14108.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"$80,000 to $99,999","9,832",9832.0,ok
2011,Electric Fuses and Circuit Breakers,With electrical wiring,"Less than $10,000","11,514",11514.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$10,000 to $19,999","1,042",1042.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$100,000 to $119,999",700,700.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$120,000 or more","1,682",1682.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$20,000 to $29,999","1,199",1199.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$30,000 to $39,999","1,020",1020.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$40,000 to $49,999",879,879.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$50,000 to $59,999",777,777.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$60,000 to $79,999","1,344",1344.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"$80,000 to $99,999","1,031",1031.0,ok
2011,Electric Fuses and Circuit Breakers,With fuses or breakers blown in last 3 months,"Less than $10,000",890,890.0,ok
2011,External Building Conditions,Bars on windows,"$10,000 to $19,999",298,298.0,ok
