"","Household Income","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","115,852","11,409","12,278","13,967","11,473","10,212","8,582","14,276","10,008","7,153","16,493"
"","","","","","","","","","","",""
"Selected Physical Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"Severe physical problems","1,942","404","293","294","200","150","131","184","107","55","122"
"  Plumbing","1,253","274","195","174","122","103","90","117","71","29","78"
"  Heating","571","102","79","108","67","43","37","49","30","23","33"
"  Electric","93","17","11","18","9","4","7","15","6",".","6"
"  Upkeep","67","21","11","10","6","4","4","3",".","3","6"
"","","","","","","","","","","",""
"Moderate physical problems","3,946","751","717","630","434","353","225","322","186","104","224"
"  Plumbing","221","35","47","50","14","21","2","18","11","12","11"
"  Heating","999","216","234","179","113","87","54","57","30","9","20"
"  Upkeep","996","202","169","147","105","102","49","86","42","27","66"
"  Kitchen","1,866","355","278","278","205","158","119","178","110","57","129"
"","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","",""
"","","","","","","","","","","",""
"Signs of rats in last 12 months","1,034","135","143","121","85","96","60","129","72","63","130"
"Signs of mice in last 12 months","10,597","1,108","1,177","1,289","1,062","852","848","1,215","939","632","1,475"
"Signs of rodents, not sure which kind in last 12 months","700","125","86","111","69","41","36","71","74","18","69"
"Signs of cockroaches in last 12 months","11,890","1,655","1,714","1,647","1,253","1,079","776","1,260","765","512","1,228"
"Holes in floors","1,064","222","177","178","122","94","58","78","48","23","64"
"Open cracks or holes (interior)","5,093","733","774","695","511","523","350","542","330","230","405"
"Broken plaster or peeling paint (interior)","1,833","344","300","270","191","162","113","169","76","79","130"
"No electrical wiring","190","41","24","33","9","11","13","29","10","3","17"
"Exposed wiring","1,891","291","234","218","203","171","103","220","137","93","222"
"Rooms without electric outlets","1,618","252","223","178","145","128","114","174","163","85","158"
"","","","","","","","","","","",""
"Flush Toilet Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With one or more flush toilets","115,759","11,372","12,261","13,953","11,471","10,208","8,571","14,271","10,006","7,153","16,492"
"With at least one toilet working at all times in last 3 months","112,639","10,842","11,841","13,492","11,170","9,871","8,424","13,940","9,815","7,005","16,238"
"None working some time in last 3 months","1,872","312","306","306","188","189","90","186","97","75","122"
"  No breakdowns lasting 6 hours or more","440","83","73","64","51","27","21","39","28","17","38"
"  Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"    1","924","144","133","140","91","107","49","108","45","43","64"
"    2","239","40","49","39","27","27","12","19","14","3","9"
"    3","83","14","19","11","9","7","2","7","5","6","4"
"    4 or more","161","26","31","50","8","15","1","10","6","7","7"
"  Number of breakdowns not reported","25","5","Z","2","3","7","5","2",".",".","1"
"Breakdowns not reported","1,248","218","114","155","113","148","57","145","93","73","132"
"","","","","","","","","","","",""
"Heating Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With heating equipment and occupied last winter","109,965","10,515","11,535","13,115","10,821","9,570","8,208","13,664","9,636","6,875","16,025"
"Not uncomfortably cold for 24 hours or more","99,547","9,141","10,328","11,749","9,797","8,670","7,501","12,606","8,812","6,291","14,650"
"Uncomfortably cold for 24 hours or more","7,878","985","908","1,037","790","661","537","755","640","457","1,108"
"  Equipment breakdowns","2,301","340","267","324","235","215","182","205","154","117","261"
"    No breakdowns lasting 6 hours or more","41","10","4","3","3","7","2","7","2","3","2"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","1,315","167","148","149","137","119","114","130","97","68","186"
"      2","342","48","30","63","24","41","29","16","26","24","41"
"      3","149","16","15","34","17","12","11","12","14","9","9"
"      4 or more","422","86","64","74","51","31","26","37","15","14","24"
"    Number of breakdowns not reported","32","13","7","1","3","5",".","3","1",".","."
"  Other causes","5,756","683","656","748","575","454","374","566","499","341","861"
"    Utility interruption","2,284","164","171","231","187","173","138","223","269","178","551"
"    Inadequate heating capacity","851","169","142","143","96","72","53","50","55","24","47"
"    Inadequate insulation","817","177","111","141","117","62","46","68","46","27","22"
"    Cost of heating","686","115","91","94","71","67","55","80","35","29","50"
"    Other","1,467","133","195","204","141","110","95","176","117","89","208"
"    Not reported","6","Z","2","3",".",".",".",".",".",".","."
"  Reason for discomfort not reported","37","2","7","2","5","3",".","1","2","9","7"
