"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","128,504","10,376","10,318","10,949","10,516","10,249","8,876","16,146","12,003","9,678","7,201","5,548","3,607","2,624","10,413"
"","","","","","","","","","","","","","","",""
"Housing Adequacy","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Severely inadequate","1,833","388","258","223","159","147","169","162","84","89","44","S","S","S","50"
"  Plumbing","411","113","60","S","S","S","S","S","S","S","S","S",".","S","S"
"  Heating","1,086","186","134","128","96","75","136","117","55","48","31","S","S","S","S"
"  Electric or wiring","166","51","S","S","S","S","S","S","S","S","S",".",".","S","S"
"  Upkeep","284","91","45","51","S","S","S","S","S",".","S","S",".",".","S"
"Moderately inadequate","4,853","694","636","511","481","466","332","550","366","226","125","154","68","62","183"
"  Upkeep","2,480","309","273","250","236","248","169","292","197","112","75","103","S","S","136"
"  Other","2,533","408","388","277","267","241","165","277","185","114","50","51","S","S","52"
"Adequate","121,818","9,294","9,424","10,214","9,876","9,636","8,375","15,434","11,553","9,363","7,031","5,371","3,523","2,543","10,180"
"","","","","","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Signs of mice or rats inside home in last 12 months","15,289","1,368","1,396","1,417","1,309","1,259","1,188","1,888","1,360","1,006","728","529","382","301","1,157"
"Signs of cockroaches in last 12 months","14,482","1,630","1,365","1,600","1,468","1,141","997","1,784","1,181","814","654","444","313","201","890"
"Holes in floors","1,852","346","218","200","171","177","182","177","112","S","S","47","S","S","44"
"Open cracks or holes (interior)","7,155","839","706","782","662","659","543","897","519","378","313","257","150","98","352"
"Broken plaster or peeling paint (interior)","2,788","399","341","318","290","257","191","277","202","135","90","73","54","S","136"
"No electrical wiring","92","S","S","S","S","S","S","S","S","S","S",".",".",".","S"
"Exposed wiring","3,013","390","317","324","233","234","229","320","252","172","131","99","76","38","199"
"Rooms without electric outlets","2,443","329","244","245","206","227","203","288","185","166","121","64","40","S","95"
"","","","","","","","","","","","","","","",""
"Flush Toilet Breakdowns","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"        With one or more flush toilets","128,383","10,336","10,287","10,936","10,497","10,249","8,869","16,144","11,998","9,674","7,201","5,548","3,607","2,624","10,413"
"With at least one toilet working at all times in last 3 months","125,838","9,914","9,942","10,632","10,272","10,022","8,684","15,836","11,860","9,592","7,134","5,479","3,564","2,596","10,312"
"None working some time in last 3 months","2,545","422","345","304","225","226","185","308","138","82","67","70","44","S","101"
"  No breakdowns lasting 6 hours or more","514","57","52","67","S","64","S","90","S","S","S","S","S","S","24"
"  Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"    1","1,226","198","181","148","89","98","106","105","79","S","S","49","S","S","65"
"    2","334","55","40","35","61","S","S","54","S","S","S","S",".","S","S"
"    3","98","S","S","S","S","S","S","S","S","S","S",".","S",".","S"
"    4 or more","373","94","58","43","36","S","S","43","S","S","S",".","S","S","S"
"","","","","","","","","","","","","","","",""
"Heating Problems","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"        With heating equipment and occupied last winter","121,267","9,715","9,701","10,270","9,830","9,618","8,315","15,177","11,395","9,250","6,885","5,303","3,403","2,474","9,931"
"Not uncomfortably cold for 24 hours or more","109,916","8,508","8,584","9,043","8,853","8,595","7,519","13,807","10,485","8,529","6,415","4,884","3,172","2,291","9,231"
"Uncomfortably cold for 24 hours or more","11,351","1,207","1,118","1,227","978","1,023","796","1,370","910","721","470","420","231","183","700"
"  Equipment breakdowns","3,179","375","349","371","318","271","264","419","207","184","120","60","S","50","154"
"    No breakdowns lasting 6 hours or more","S","S","S","S","S","S","S","S","S",".",".","S",".",".","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"      1","1,592","150","144","155","187","145","89","212","115","122","79","29","S","36","108"
"      2","458","S","66","79","S","51","37","89","S","S","S","S","S","S","S"
"      3","295","S","42","S","31","23","40","S","S","S","S","S","S",".","S"
"      4 or more","791","155","92","90","65","52","96","102","S","S","S","S","S","S","S"
"  Other causes","8,172","831","769","856","660","752","532","951","703","537","350","360","192","133","546"
"    Utility interruption","4,633","326","346","418","329","423","304","558","477","366","219","225","131","103","407"
"    Inadequate heating capacity","1,005","195","122","155","103","78","S","139","S","S","S","S","S","S","S"
"    Inadequate insulation","1,000","125","126","148","91","122","67","100","79","S","S","S","S","S","18"
"    Cost of heating","437","85","48","42","35","S","34","63","37","S","S","S","S","S","S"
"    Other","1,387","144","161","136","141","129","102","136","94","90","56","70","S","S","81"
"    Not reported","69","S","S","S","S","S","S","S","S","S","S","S","S",".","S"
"","","","","","","","","","","","","","","",""
"Electric Fuses and Circuit Breakers","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"      With electrical wiring","128,412","10,335","10,310","10,946","10,510","10,241","8,870","16,138","11,999","9,674","7,198","5,548","3,607","2,624","10,412"
