"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","133,231","9,271","9,010","9,369","9,785","9,462","9,257","16,377","13,045","10,052","8,237","6,646","4,680","3,490","14,551"
"","","","","","","","","","","","","","","",""
"Housing Adequacy","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Severely inadequate","1,652","260","263","214","140","118","139","147","135","67","S","S","S","S","48"
"  Plumbing","392","101","98","S","S","S","S","S","S","S","S",".","S","S","S"
"  Heating","970","125","118","133","104","71","99","93","70","S","S","S","S","S","S"
"  Electric or wiring","213","43","S","S","S","S","S","S","S","S","S",".","S","S","S"
"  Upkeep","266","73","51","S","S","S","S","S","S","S","S",".",".","S","S"
"Moderately inadequate","4,804","519","647","406","459","404","311","635","367","216","200","143","80","51","364"
"  Upkeep","2,676","245","275","182","294","259","154","347","234","148","102","84","54","40","259"
"  Other","2,236","297","388","244","184","156","158","296","136","70","98","61","S","S","105"
"Adequate","126,775","8,492","8,100","8,748","9,186","8,940","8,808","15,595","12,543","9,769","7,995","6,483","4,576","3,403","14,139"
"","","","","","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Signs of mice or rats inside home in last 12 months","15,738","1,121","1,325","1,162","1,242","1,165","1,161","1,869","1,494","1,090","894","695","551","375","1,595"
"Signs of cockroaches in last 12 months","15,728","1,527","1,462","1,437","1,477","1,180","1,057","1,959","1,439","956","706","705","379","269","1,175"
"Holes in floors","1,794","244","219","177","137","165","111","193","125","101","110","S","S","S","92"
"Open cracks or holes (interior)","7,154","610","671","633","661","651","466","905","618","449","383","297","180","133","498"
"Broken plaster or peeling paint (interior)","2,903","349","302","261","298","211","198","381","311","161","137","81","56","S","126"
"No electrical wiring","121","S","S","S","S","S","S","S","S","S","S",".","S",".","S"
